sys_RespNum,Task,Concept,dialcolor,dialshape,strapcolor,dialsize,knobsize,rimcolor,Response
9,1,1,1,1,1,1,1,1,1
9,1,2,3,3,3,3,3,3,0
9,2,1,3,3,3,3,3,3,0
9,2,2,1,1,1,1,1,1,1
9,3,1,1,1,1,1,1,1,1
9,3,2,3,3,3,3,3,3,0
9,4,1,2,3,2,1,2,3,1
9,4,2,3,1,3,3,1,2,0
9,5,1,1,3,1,1,1,1,1
9,5,2,3,2,3,2,3,3,0
9,6,1,2,3,2,3,2,1,1
9,6,2,1,1,1,2,3,3,0
9,7,1,1,1,2,2,1,2,0
9,7,2,1,2,1,1,2,3,1
9,8,1,3,3,3,2,3,1,1
9,8,2,3,2,3,3,3,3,0
9,9,1,2,1,2,1,1,3,0
9,9,2,2,3,1,3,1,2,1
9,10,1,2,2,3,1,3,3,1
9,10,2,1,1,1,3,2,1,0
9,11,1,3,2,1,2,2,1,0
9,11,2,2,3,2,2,3,2,1
9,12,1,3,1,2,2,2,2,0
9,12,2,1,2,3,1,1,1,1
9,13,1,2,3,1,3,3,2,1
9,13,2,3,1,2,3,1,3,0
9,14,1,1,2,1,1,3,1,1
9,14,2,2,3,3,1,2,2,0
9,15,1,3,3,2,1,1,1,1
9,15,2,1,1,3,3,2,3,0
12,1,1,1,1,1,1,1,1,1
12,1,2,3,3,3,3,3,3,0
12,2,1,3,3,3,3,3,3,0
12,2,2,1,1,1,1,1,1,1
12,3,1,1,1,1,1,1,1,1
12,3,2,3,3,3,3,3,3,0
12,4,1,1,1,2,2,1,3,1
12,4,2,3,2,3,1,3,2,0
12,5,1,3,1,1,2,3,2,0
12,5,2,2,3,1,3,2,1,1
12,6,1,1,2,2,1,2,3,1
12,6,2,2,2,3,2,1,3,0
12,7,1,1,3,3,3,1,1,1
12,7,2,3,3,1,1,3,3,0
12,8,1,3,3,3,3,3,2,0
12,8,2,2,1,2,2,1,1,1
12,9,1,1,2,2,3,3,1,1
12,9,2,2,1,3,1,2,2,0
12,10,1,1,2,1,1,1,1,1
12,10,2,2,3,1,2,2,2,0
12,11,1,3,1,2,3,3,1,0
12,11,2,3,2,1,1,2,3,1
12,12,1,3,2,3,1,1,2,1
12,12,2,1,3,2,2,2,3,0
12,13,1,2,1,2,3,3,2,1
12,13,2,1,3,1,2,2,1,0
12,14,1,2,3,3,3,1,3,1
12,14,2,1,1,2,2,1,2,0
12,15,1,2,2,3,2,3,3,0
12,15,2,3,1,1,3,1,3,1
15,1,1,1,1,1,1,1,1,1
15,1,2,3,3,3,3,3,3,0
15,2,1,3,3,3,3,3,3,0
15,2,2,1,1,1,1,1,1,1
15,3,1,1,1,1,1,1,1,1
15,3,2,3,3,3,3,3,3,0
15,4,1,2,2,1,1,1,3,1
15,4,2,3,2,3,2,2,1,0
15,5,1,1,1,1,3,2,2,0
15,5,2,1,3,2,1,3,3,1
15,6,1,3,3,2,3,1,1,0
15,6,2,2,1,1,2,2,2,1
15,7,1,3,2,1,1,1,2,1
15,7,2,2,3,3,3,3,3,0
15,8,1,1,1,2,3,3,1,0
15,8,2,3,2,3,2,3,3,1
15,9,1,3,3,1,2,1,2,1
15,9,2,2,3,3,1,2,1,0
15,10,1,1,2,3,3,3,2,1
15,10,2,1,1,2,1,3,3,0
15,11,1,3,1,3,2,2,1,0
15,11,2,2,2,2,1,2,3,1
15,12,1,2,1,1,2,1,3,1
