sys_RespNum,sys_RespStatus,sys_DataSource,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Consent,CBCwatchexercise_Random1,CBCwatchexercise_Random2,CBCwatchexercise_Random3,CBCwatchexercise_Random4,CBCwatchexercise_Fixed1,CBCwatchexercise_Random5,CBCwatchexercise_Random6,CBCwatchexercise_Fixed2,CBCwatchexercise_Random7,CBCwatchexercise_Fixed3,CBCwatchexercise_Random8,CBCwatchexercise_Random9,CBCwatchexercise_Random10,CBCwatchexercise_Random11,CBCwatchexercise_Random12,PilotTestOpenEnded,OwnWatch,LuxuryWatch,IMC,DemoAge,DemoGender,DemoGender_4_other,DemoEducation,sys_CBCVersion_CBCwatchexercise,sys_CBCDesignID_CBCwatchexercise,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,OwnWatchSegment,PROLIFICPID,OpenEndProdCatShoes,OpenEndProdCatCars,OpenEndProdCatWatches,WarmUp1,WarmUp2,WarmUp3,DemoOwnWatch,DemoTypeOfWatch,DemoWatchUseCase_1,DemoWatchUseCase_2,DemoWatchUseCase_3,DemoWatchUseCase_4,DemoWatchWTP,DemoBrandRecognition,OpenEndedIdealWatch,DemoAestheticImportance1_1,DemoAestheticImportance2_1,DemoTimeSpentGrooming,DemoIncome,DemoRentOwn,DemoSocialMedia,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,DemoAge_real,DemoEducation_real,DemoIncome_real,DemoSocialMedia_real,DemoAestheticImportance1_1_real,DemoAestheticImportance2_1_real,DemoTimeSpentGrooming_real,DemoOwnWatch_real,DemoWatchWTP_real
1,2.0,1.0,04 Mar 2023 - 20:19:02 EST,04 Mar 2023 - 20:20:51 EST,109.0,106.0,1677979142.0,1677979251.0,0.0,,DemoAestheticImportance1,1.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0,Windows 10.0,Firefox 110.0,130.132.173.53,1999.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,5.0,,,,,1.0,CBC1_1677959355_6,,6.0,6.0,3.0,4.0,4.0,5.0,5.0,3.0,7.0,3.0,3.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,62b31e75c09af7a4e5e48337,shoes,cars,watches,2.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,,,,,,,,,,2.0,2.0,6.0,17.0,,,,,,,,,,,2.0,
8,5.0,1.0,05 Mar 2023 - 23:33:10 EST,05 Mar 2023 - 23:36:11 EST,181.0,177.0,1678077190.0,1678077371.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,35.3.219.126,1519.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,5.0,1.0,1.0,,3.0,8.0,CBC1_1677959355_6,,7.0,10.0,4.0,5.0,17.0,9.0,3.0,3.0,3.0,7.0,4.0,4.0,3.0,11.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,9.0,,62e7f9424f3b9037fd6ce81e,shoes,cars,watches,1.0,2.0,2.0,5.0,,,,,,,,,4.0,4.0,2.0,2.0,1.0,1.0,3.0,13.0,5.0,,,16.0,23.0,-2.5,-1.0,-4.5,-2.5,1.0,1.0,-1.5,5.0,
9,5.0,1.0,05 Mar 2023 - 23:43:10 EST,05 Mar 2023 - 23:47:47 EST,277.0,276.0,1678077790.0,1678078067.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 109.0.0.0,12.159.86.13,1458.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,2.0,,6.0,9.0,CBC1_1677959355_6,,6.0,12.0,10.0,7.0,21.0,19.0,9.0,7.0,4.0,14.0,6.0,13.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,,63bdb6b3c6f826d7b976bb90,shoes,cars,watches,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,"simple, sleek, classic",5.0,5.0,5.0,11.0,1.0,5.0,3.0,4.0,11.0,17.0,32.0,16.0,22.0,-1.5,2.0,4.5,1.5,2.0,2.0,1.5,1.0,-2.0
10,5.0,1.0,05 Mar 2023 - 23:43:33 EST,05 Mar 2023 - 23:45:29 EST,116.0,115.0,1678077813.0,1678077929.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,2603:7000:30f0:7b60:9df6:f9ba:2a36:ffb7,1425.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,2.0,,6.0,10.0,CBC1_1677959355_6,,5.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,7.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,,5efb5648d7ea0e08aa5d1179,sneakers,cars,watches,2.0,2.0,2.0,5.0,,,,,,,,,4.0,3.0,4.0,5.0,1.0,6.0,2.0,4.0,3.0,,,8.0,11.0,-1.5,2.0,-1.5,2.5,1.0,0.0,0.5,5.0,
11,5.0,1.0,05 Mar 2023 - 23:44:27 EST,05 Mar 2023 - 23:48:52 EST,265.0,264.0,1678077867.0,1678078132.0,0.0,,TerminateComplete,1.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/109.0,Mac OS X 10.15,Firefox 109.0,2601:c3:4280:bda0:431:8e5c:3b80:7925,752.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,5.0,2.0,2.0,,6.0,11.0,CBC1_1677959355_6,,7.0,12.0,8.0,9.0,27.0,11.0,5.0,7.0,4.0,8.0,11.0,10.0,6.0,7.0,5.0,3.0,6.0,4.0,4.0,6.0,5.0,10.0,,5d0fdb69ee28980001f19fc4,shoes,cars,watches,1.0,2.0,1.0,5.0,,,,,,,,,3.0,2.0,2.0,5.0,1.0,6.0,4.0,17.0,6.0,,,31.0,31.0,-1.5,2.0,-1.5,2.5,0.0,-1.0,-1.5,5.0,
12,5.0,1.0,05 Mar 2023 - 23:52:27 EST,06 Mar 2023 - 00:02:29 EST,602.0,601.0,1678078347.0,1678078949.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,107.9.241.126,1903.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,5.0,2.0,1.0,,5.0,12.0,CBC1_1677959355_6,,202.0,12.0,7.0,6.0,14.0,14.0,5.0,7.0,4.0,6.0,4.0,5.0,3.0,5.0,7.0,6.0,4.0,5.0,2.0,5.0,9.0,4.0,,5d5e4baff521f100166c5d3a,shoes,cars,watches,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,"a brown strap with a gold bezel and a white face. the hands on the clock would be black or brown. also on the above question considering I can't actually select more than one item, I am going to answer it here. I have heard of Rolex, Omega, and TAG Heuer.",4.0,4.0,3.0,7.0,1.0,5.0,4.0,5.0,5.0,14.0,203.0,16.0,18.0,-1.5,1.0,0.5,1.5,1.0,1.0,-0.5,2.0,-1.0
13,2.0,1.0,05 Mar 2023 - 23:53:58 EST,05 Mar 2023 - 23:54:41 EST,43.0,43.0,1678078438.0,1678078481.0,0.0,,WarmUp2,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,24.60.155.171,1406.0,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,7.0,5.0,4.0,5.0,12.0,4.0,6.0,,,,,,,,,,,,,,,,,63e535e893a22517d2fda216,shoes,cars,watches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5.0,1.0,05 Mar 2023 - 23:54:41 EST,05 Mar 2023 - 23:57:18 EST,157.0,155.0,1678078481.0,1678078638.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63",Windows 10.0,Edg 110.0.1587.63,2601:644:8e81:6de0:38aa:e96a:6a0c:5ac9,1339.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,5.0,2.0,1.0,,3.0,14.0,CBC1_1677959355_6,,11.0,8.0,3.0,5.0,18.0,10.0,10.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,630abefa2e2a5053ffe0636d,Shoes,Cars,Watches,1.0,2.0,2.0,5.0,,,,,,,,,3.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,8.0,,,14.0,24.0,-1.5,-1.0,-1.5,-1.5,0.0,-1.0,-1.5,5.0,
15,5.0,1.0,05 Mar 2023 - 23:56:39 EST,06 Mar 2023 - 00:00:20 EST,221.0,219.0,1678078599.0,1678078820.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2601:681:500:6720:799b:7083:22b5:ffbb,1903.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,5.0,2.0,2.0,,3.0,15.0,CBC1_1677959355_6,,3.0,12.0,5.0,5.0,13.0,15.0,4.0,3.0,4.0,6.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,7.0,2.0,8.0,3.0,3.0,,629e4d79be0e1ecd4ce30ab4,shoes,car,watch,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,"It has to look stylish and clean, it needs to go well with other clothing.",5.0,4.0,4.0,5.0,1.0,6.0,4.0,2.0,7.0,11.0,40.0,20.0,24.0,-1.5,-1.0,-1.5,2.5,2.0,1.0,0.5,4.0,-2.0
16,2.0,1.0,05 Mar 2023 - 23:57:23 EST,05 Mar 2023 - 23:59:08 EST,105.0,105.0,1678078643.0,1678078748.0,0.0,,OpenEndProdCatShoes,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,97.124.56.102,2031.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,5c64c326c2629c000143bf6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
